time,a_c,a_h,a_l,a_o,b_c,b_h,b_l,b_o,complete,volume
2019-09-18T20:45:00.000000000Z,1.10307,1.10307,1.10283,1.10289,1.10287,1.10291,1.10269,1.10273,True,26
2019-09-18T21:00:00.000000000Z,1.10335,1.10413,1.10301,1.10311,1.10310,1.10313,1.10265,1.10269,True,60
2019-09-18T21:15:00.000000000Z,1.10332,1.10394,1.10331,1.10338,1.10277,1.10334,1.10277,1.10313,True,54
2019-09-18T21:30:00.000000000Z,1.10345,1.10345,1.10326,1.10327,1.10326,1.10326,1.10288,1.10288,True,12
2019-09-18T21:45:00.000000000Z,1.10343,1.10374,1.10343,1.10348,1.10308,1.10345,1.10308,1.10328,True,32
2019-09-18T22:00:00.000000000Z,1.10333,1.10351,1.10332,1.10341,1.10311,1.10328,1.10311,1.10314,True,49
2019-09-18T22:15:00.000000000Z,1.10315,1.10335,1.10315,1.10333,1.10298,1.10310,1.10297,1.10306,True,19
2019-09-18T22:30:00.000000000Z,1.10313,1.10322,1.10313,1.10313,1.10298,1.10307,1.10296,1.10296,True,22
2019-09-18T22:45:00.000000000Z,1.10319,1.10325,1.10315,1.10315,1.10305,1.10310,1.10300,1.10300,True,21
2019-09-18T23:00:00.000000000Z,1.10291,1.10322,1.10277,1.10322,1.10276,1.10308,1.10261,1.10307,True,78
2019-09-18T23:15:00.000000000Z,1.10315,1.10315,1.10294,1.10294,1.10301,1.10301,1.10278,1.10278,True,30
2019-09-18T23:30:00.000000000Z,1.10302,1.10313,1.10302,1.10313,1.10290,1.10298,1.10289,1.10298,True,13
2019-09-18T23:45:00.000000000Z,1.10299,1.10306,1.10295,1.10300,1.10286,1.10291,1.10281,1.10287,True,17
2019-09-19T00:00:00.000000000Z,1.10297,1.10304,1.10283,1.10297,1.10284,1.10290,1.10267,1.10283,True,72
2019-09-19T00:15:00.000000000Z,1.10269,1.10303,1.10269,1.10295,1.10254,1.10289,1.10254,1.10281,True,70
